Date,CUSIP,Name,MV%
2024-02-12,031100100,"AMETEK, Inc.",0.013397933408801205
2024-02-12,N07059210,ASML Holding NV ADR,0.02497274691086025
2024-02-12,00724F101,Adobe Inc.,0.017758818251564227
2024-02-12,007903107,"Advanced Micro Devices, Inc.",0.017556469152823093
2024-02-12,02079K305,Alphabet Inc. Class A,0.02521679564058565
2024-02-12,023135106,"Amazon.com, Inc.",0.023158399084263277
2024-02-12,037833100,Apple Inc.,0.01770455175576413
2024-02-12,09260D107,Blackstone Group Inc.,0.015521937814542756
2024-02-12,09857L108,Booking Holdings Inc.,0.020372672382765973
2024-02-12,81369Y852,Communication Services Select Sector SPDR Fund,0.004012732161902885
2024-02-12,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002512029200889043
2024-02-12,81369Y308,Consumer Staples Select Sector SPDR Fund,0.001503906490282548
2024-02-12,22160K105,Costco Wholesale Corporation,0.012425565524864901
2024-02-12,22788C105,"CrowdStrike Holdings, Inc. Class A",0.010707087074168335
2024-02-12,23804L103,Datadog Inc Class A,0.012322031328935673
2024-02-12,81369Y506,Energy Select Sector SPDR Fund,0.00018109615456585778
2024-02-12,30303M102,"Facebook, Inc. Class A",0.025203605270073225
2024-02-12,81369Y605,Financial Select Sector SPDR Fund,0.0056554546704632985
2024-02-12,369604301,General Electric Company,0.014917728544248679
2024-02-12,38141G104,"Goldman Sachs Group, Inc.",0.014773214973915729
2024-02-12,81369Y209,Health Care Select Sector SPDR Fund,0.006820722316807875
2024-02-12,81369Y704,Industrial Select Sector SPDR Fund,0.0045325854114871035
2024-02-12,46625H100,JPMorgan Chase & Co.,0.01455115019504437
2024-02-12,548661107,"Lowe's Companies, Inc.",0.01457900369952497
2024-02-12,81369Y100,Materials Select Sector SPDR Fund,0.0014413731689534733
2024-02-12,580135101,McDonald's Corporation,0.014624089611447632
2024-02-12,594918104,Microsoft Corporation,0.024998880399626104
2024-02-12,000496514,Moncler SpA,0.00768611304935875
2024-02-12,682189105,ON Semiconductor Corporation,0.015223214085285005
2024-02-12,743315103,Progressive Corporation,0.020780111855293607
2024-02-12,81369Y860,Real Estate Select Sector SPDR Fund,8.232425214682055e-05
2024-02-12,75886F107,"Regeneron Pharmaceuticals, Inc.",0.014253383224527946
2024-02-12,776696106,"Roper Technologies, Inc.",0.019238623021643957
2024-02-12,78409V104,"S&P Global, Inc.",0.01893170771754475
2024-02-12,78462F103,SPDR S&P 500 ETF Trust,0.1728772529747329
2024-02-12,81762P102,"ServiceNow, Inc.",0.016928179662522632
2024-02-12,824348106,Sherwin-Williams Company,0.019354863833665838
2024-02-12,863667101,Stryker Corporation,0.007333502001765219
2024-02-12,81369Y803,Technology Select Sector SPDR Fund,0.011086576291331422
2024-02-12,CASHUSD,U.S. Dollar,0.21764020172646997
2024-02-12,907818108,Union Pacific Corporation,0.020212764671786086
2024-02-12,91324P102,UnitedHealth Group Incorporated,0.02472588165540196
2024-02-12,81369Y886,Utilities Select Sector SPDR Fund,0.00013108669765974533
2024-02-12,92826C839,Visa Inc. Class A,0.009758197404738257
2024-02-12,929160109,Vulcan Materials Company,0.012648963315915186
2024-02-12,931142103,Walmart Inc.,0.013547488775197987
2024-02-12,79466L302,"salesforce.com, inc.",0.015752462920711002
