Date,CUSIP,Name,MV%
2023-03-22,031100100,"AMETEK, Inc.",0.013874448858215024
2023-03-22,N07059210,ASML Holding NV ADR,0.0208114295442965
2023-03-22,002824100,Abbott Laboratories,0.02347778867121352
2023-03-22,00724F101,Adobe Inc.,0.016653254767809662
2023-03-22,007903107,"Advanced Micro Devices, Inc.",0.02048104941378488
2023-03-22,009066101,"Airbnb, Inc. Class A",0.010008860501925112
2023-03-22,02079K305,Alphabet Inc. Class A,0.021276382907738055
2023-03-22,023135106,"Amazon.com, Inc.",0.025393960929110792
2023-03-22,032095101,Amphenol Corporation Class A,0.013665723580253464
2023-03-22,037833100,Apple Inc.,0.02201336702951423
2023-03-22,053484101,"AvalonBay Communities, Inc.",0.010126060273610418
2023-03-22,060505104,Bank of America Corp,0.014110392107417193
2023-03-22,09260D107,Blackstone Group Inc.,0.014328677528511025
2023-03-22,09857L108,Booking Holdings Inc.,0.024249289513732137
2023-03-22,14448C104,Carrier Global Corp.,0.01268297878183759
2023-03-22,150870103,Celanese Corporation,0.0076528810361055945
2023-03-22,15135B101,Centene Corporation,0.016191036742771392
2023-03-22,171779309,Ciena Corporation,0.015658092616345213
2023-03-22,81369Y852,Communication Services Select Sector SPDR Fund,0.002177898102742284
2023-03-22,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0015403475943092896
2023-03-22,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0011704540110215008
2023-03-22,22052L104,Corteva Inc,0.014467286062649765
2023-03-22,22160K105,Costco Wholesale Corporation,0.015843946673697127
2023-03-22,22788C105,"CrowdStrike Holdings, Inc. Class A",0.0075789456515415535
2023-03-22,22822V101,Crown Castle International Corp,0.006829137938340082
2023-03-22,235851102,Danaher Corporation,0.020012114914251415
2023-03-22,23804L103,Datadog Inc Class A,0.007618526810713842
2023-03-22,244199105,Deere & Company,0.008557438488281034
2023-03-22,28176E108,Edwards Lifesciences Corporation,0.015914632151247367
2023-03-22,81369Y506,Energy Select Sector SPDR Fund,0.00010654278493587358
2023-03-22,518439104,Estee Lauder Companies Inc. Class A,0.013496051351574449
2023-03-22,30303M102,"Facebook, Inc. Class A",0.015692961410347483
2023-03-22,313745101,Federal Realty Investment Trust,0.011721872947621961
2023-03-22,81369Y605,Financial Select Sector SPDR Fund,0.0028324835404393007
2023-03-22,36266G107,"GE HealthCare Technologies, Inc.",0.004049925790368718
2023-03-22,369604301,General Electric Company,0.014557958468334896
2023-03-22,38141G104,"Goldman Sachs Group, Inc.",0.014866225689873426
2023-03-22,81369Y209,Health Care Select Sector SPDR Fund,0.0045994309012860725
2023-03-22,438516106,Honeywell International Inc.,0.016473507827387854
2023-03-22,452327109,"Illumina, Inc.",0.009116774567915147
2023-03-22,81369Y704,Industrial Select Sector SPDR Fund,0.0028834529154391267
2023-03-22,46137Y609,Invesco S&P 500 Equal Weight Communication Services ETF,0.00019565794351022336
