Date,CUSIP,Name,MV%
2023-01-25,46137Y609,Invesco S&P 500 Equal Weight Communication Services ETF,0.036417425363028395
2023-01-25,46137V381,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.09565940031158057
2023-01-25,46137V373,Invesco S&P 500 Equal Weight Consumer Staples ETF,0.04694773733712045
2023-01-25,46137V340,Invesco S&P 500 Equal Weight Financials ETF,0.12063908738839467
2023-01-25,46137V332,Invesco S&P 500 Equal Weight Health Care ETF,0.19175399487489322
2023-01-25,46137V324,Invesco S&P 500 Equal Weight Industrials ETF,0.18259639668419017
2023-01-25,46137V316,Invesco S&P 500 Equal Weight Materials ETF,0.04237356796785119
2023-01-25,46137V290,Invesco S&P 500 Equal Weight Real Estate ETF,0.06258232231690013
2023-01-25,46137V282,Invesco S&P 500 Equal Weight Technology ETF,0.2070922773854085
2023-01-25,CASHUSD,U.S. Dollar,0.013937790370632723
