Date,CUSIP,Name,MV%
2024-05-03,031100100,"AMETEK, Inc.",0.017027602854263645
2024-05-03,N07059210,ASML Holding NV ADR,0.019611612148570486
2024-05-03,00724F101,Adobe Inc.,0.022207584650270284
2024-05-03,007903107,"Advanced Micro Devices, Inc.",0.019326887812618057
2024-05-03,02079K305,Alphabet Inc. Class A,0.028919596536305443
2024-05-03,023135106,"Amazon.com, Inc.",0.02531441873457869
2024-05-03,037833100,Apple Inc.,0.026325755660650207
2024-05-03,09260D107,Blackstone Group Inc.,0.014243710115706628
2024-05-03,09857L108,Booking Holdings Inc.,0.0194531540288292
2024-05-03,81369Y852,Communication Services Select Sector SPDR Fund,0.004099976059499541
2024-05-03,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002515351359514339
2024-05-03,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015679632147797343
2024-05-03,22160K105,Costco Wholesale Corporation,0.012944625424905189
2024-05-03,22788C105,"CrowdStrike Holdings, Inc. Class A",0.009109079751362385
2024-05-03,23804L103,Datadog Inc Class A,0.008784855079727023
2024-05-03,81369Y506,Energy Select Sector SPDR Fund,0.00020135165606658716
2024-05-03,30303M102,"Facebook, Inc. Class A",0.02113602928843985
2024-05-03,81369Y605,Financial Select Sector SPDR Fund,0.005909498182829289
2024-05-03,36828A101,GE Vernova,0.0043396426061528505
2024-05-03,369604301,General Electric Company,0.01766953768732675
2024-05-03,38141G104,"Goldman Sachs Group, Inc.",0.016679212503694505
2024-05-03,81369Y209,Health Care Select Sector SPDR Fund,0.006739113988601754
2024-05-03,45168D104,"IDEXX Laboratories, Inc.",0.014635135385961166
2024-05-03,81369Y704,Industrial Select Sector SPDR Fund,0.004806729725346314
2024-05-03,46625H100,JPMorgan Chase & Co.,0.015953774483028545
2024-05-03,548661107,"Lowe's Companies, Inc.",0.01666211599276566
2024-05-03,81369Y100,Materials Select Sector SPDR Fund,0.0015579141205696485
2024-05-03,580135101,McDonald's Corporation,0.018521394183207033
2024-05-03,594918104,Microsoft Corporation,0.024767058493778474
2024-05-03,000496514,Moncler SpA,0.008278498841022604
2024-05-03,682189105,On Semiconductor,0.016454358582922296
2024-05-03,743315103,Progressive Corporation,0.02406162078074493
2024-05-03,81369Y860,Real Estate Select Sector SPDR Fund,8.052326139769966e-05
2024-05-03,75886F107,"Regeneron Pharmaceuticals, Inc.",0.014571186604624257
2024-05-03,776696106,"Roper Technologies, Inc.",0.01968746975908493
2024-05-03,78409V104,"S&P Global, Inc.",0.022658119040689127
2024-05-03,78462F103,SPDR S&P 500 ETF Trust,0.17849550244097223
2024-05-03,806857108,Schlumberger NV,0.014254161608710838
2024-05-03,81762P102,"ServiceNow, Inc.",0.015588059233025784
2024-05-03,824348106,Sherwin-Williams Company,0.019636408614803164
2024-05-03,863667101,Stryker Corporation,0.00714420994221352
2024-05-03,81369Y803,Technology Select Sector SPDR Fund,0.011014307533835808
2024-05-03,CASHUSD,U.S. Dollar,0.14583568982951647
2024-05-03,907818108,Union Pacific Corporation,0.019866928745622403
2024-05-03,91324P102,UnitedHealth Group Incorporated,0.023797342653791374
2024-05-03,81369Y886,Utilities Select Sector SPDR Fund,0.0001488005486822429
2024-05-03,92826C839,Visa Inc. Class A,0.014600007058798204
2024-05-03,929160109,Vulcan Materials Company,0.01409217978061017
2024-05-03,931142103,Walmart Inc.,0.014442897518799395
2024-05-03,79466L302,"salesforce.com, inc.",0.01398827388658078
