Date,CUSIP,Name,MV%
2024-12-10,N07059210,ASML Holding NV,0.025095319433711127
2024-12-10,00724F101,Adobe Inc.,0.022095910703199745
2024-12-10,007903107,Advanced Micro Devices Inc.,0.016092881035193192
2024-12-10,02005N100,Ally Financial Inc,0.01149268939718179
2024-12-10,02079K305,Alphabet Inc,0.037930260322080286
2024-12-10,023135106,Amazon.com Inc.,0.03203000658109576
2024-12-10,031100100,Ametek Inc,0.007254997599459389
2024-12-10,037833100,Apple Inc,0.0314527226522777
2024-12-10,09857L108,Booking Holdings Inc,0.019946742684201883
2024-12-10,15135B101,Centene Corp.,0.00828970027936532
2024-12-10,81369Y852,Communication Services Select Sector SPDR Fund,0.004534863962119134
2024-12-10,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0029059612070835663
2024-12-10,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015100088853084773
2024-12-10,22160K105,Costco Wholesale Corp,0.015285502895658444
2024-12-10,22788C105,Crowdstrike Holdings Inc,0.011005188948730312
2024-12-10,23804L103,Datadog Inc,0.014301654440707367
2024-12-10,81369Y506,Energy Select Sector SPDR Fund,0.0005207557264193079
2024-12-10,001158514,Ferrari N.V.,0.0150981654709004
2024-12-10,81369Y605,Financial Select Sector SPDR Fund,0.006452466383029265
2024-12-10,369604301,GE Aerospace,0.01630617450252937
2024-12-10,36828A101,GE Vernova Inc.,0.01070483358681844
2024-12-10,38141G104,"Goldman Sachs Group, Inc.",0.007876653955270966
2024-12-10,81369Y209,Health Care Select Sector SPDR Fund,0.00609750620090301
2024-12-10,437076102,"Home Depot, Inc.",0.0117856301207729
2024-12-10,45168D104,"Idexx Laboratories, Inc.",0.011547448087970924
2024-12-10,81369Y704,Industrial Select Sector SPDR Fund,0.004812302225304186
2024-12-10,46137V357,Invesco S&P 500 Equal Weight ETF,0.09607149757285177
2024-12-10,46625H100,JPMorgan Chase & Co.,0.008174470452699464
2024-12-10,532457108,Lilly(Eli) & Co,0.012303183415855224
2024-12-10,548661107,"Lowe`s Cos., Inc.",0.017144317140103178
2024-12-10,81369Y100,Materials Select Sector SPDR Fund,0.0013994528773506498
2024-12-10,580135101,McDonald`s Corp,0.010989224876600005
2024-12-10,30303M102,Meta Platforms Inc,0.027992942779025434
2024-12-10,595112103,Micron Technology Inc.,0.01320786546009746
2024-12-10,594918104,Microsoft Corporation,0.03410772095194412
2024-12-10,000496514,Moncler SpA,0.005728406928598272
2024-12-10,67066G104,NVIDIA Corp,0.01298956158217099
2024-12-10,670100205,Novo Nordisk,0.01218081784128534
2024-12-10,682189105,ON Semiconductor Corp.,0.013716696216973648
2024-12-10,743315103,Progressive Corp.,0.025206519774700724
2024-12-10,81369Y860,Real Estate Select Sector SPDR Fund,8.299394125574565e-05
2024-12-10,75886F107,"Regeneron Pharmaceuticals, Inc.",0.013476177274817659
2024-12-10,776696106,Roper Technologies Inc,0.018494714154841364
2024-12-10,78409V104,S&P Global Inc,0.02413397455031723
2024-12-10,79466L302,Salesforce Inc,0.015431025991728195
2024-12-10,81762P102,ServiceNow Inc,0.009761703132710565
2024-12-10,824348106,Sherwin-Williams Co.,0.020727135771689862
2024-12-10,863667101,Stryker Corp.,0.007360398943163093
2024-12-10,874039100,Taiwan Semiconductor Manufacturing,0.014213198094047998
2024-12-10,81369Y803,Technology Select Sector SPDR Fund,0.03675958413865002
2024-12-10,CASHUSD,U.S. Dollar,0.0628547480384039
2024-12-10,907818108,Union Pacific Corp.,0.02348475612780357
2024-12-10,91324P102,Unitedhealth Group Inc,0.02415135230835305
2024-12-10,81369Y886,Utilities Select Sector SPDR Fund,0.00015025461624331056
2024-12-10,92826C839,Visa Inc,0.009613218028076877
2024-12-10,929160109,Vulcan Materials Co,0.01461486761252178
2024-12-10,931142103,Walmart Inc,0.012002481845150164
2024-12-10,464288653,iShares 10-20 Year Treasury Bond ETF,0.048388429760663654
