Date,CUSIP,Name,MV%
2024-06-27,031100100,"AMETEK, Inc.",0.01645219427104831
2024-06-27,N07059210,ASML Holding NV ADR,0.021616597243360403
2024-06-27,00724F101,Adobe Inc.,0.024143822033285127
2024-06-27,007903107,"Advanced Micro Devices, Inc.",0.01978431406129535
2024-06-27,02079K305,Alphabet Inc. Class A,0.030994902476033356
2024-06-27,023135106,"Amazon.com, Inc.",0.026001958666494344
2024-06-27,037833100,Apple Inc.,0.029713279929867272
2024-06-27,09260D107,Blackstone Group Inc.,0.01448520819509996
2024-06-27,09857L108,Booking Holdings Inc.,0.021077028673731096
2024-06-27,81369Y852,Communication Services Select Sector SPDR Fund,0.004271917446783583
2024-06-27,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0025210531852798974
2024-06-27,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015365718494579996
2024-06-27,22160K105,Costco Wholesale Corporation,0.014309207067750102
2024-06-27,22788C105,"CrowdStrike Holdings, Inc. Class A",0.010994109130859058
2024-06-27,23804L103,Datadog Inc Class A,0.012964785553026034
2024-06-27,81369Y506,Energy Select Sector SPDR Fund,0.0004773268328365299
2024-06-27,30303M102,"Facebook, Inc. Class A",0.025674001488153596
2024-06-27,81369Y605,Financial Select Sector SPDR Fund,0.005772058955365403
2024-06-27,36828A101,GE Vernova,0.004448097308850582
2024-06-27,369604301,General Electric Company,0.016705913458934015
2024-06-27,38141G104,"Goldman Sachs Group, Inc.",0.016410580623375026
2024-06-27,81369Y209,Health Care Select Sector SPDR Fund,0.006748055649026528
2024-06-27,437076102,"Home Depot, Inc.",0.014002403668873387
2024-06-27,45168D104,"IDEXX Laboratories, Inc.",0.0145415201448064
2024-06-27,81369Y704,Industrial Select Sector SPDR Fund,0.004610851039518192
2024-06-27,46625H100,JPMorgan Chase & Co.,0.016124068871797313
2024-06-27,548661107,"Lowe's Companies, Inc.",0.015252169380160736
2024-06-27,81369Y100,Materials Select Sector SPDR Fund,0.001486063521155209
2024-06-27,580135101,McDonald's Corporation,0.017100402007278935
2024-06-27,594918104,Microsoft Corporation,0.02666259372246975
2024-06-27,000496514,Moncler SpA,0.007078527645865068
2024-06-27,682189105,On Semiconductor,0.015339539115422223
2024-06-27,743315103,Progressive Corporation,0.023554186715242436
2024-06-27,81369Y860,Real Estate Select Sector SPDR Fund,8.01152085069242e-05
2024-06-27,75886F107,"Regeneron Pharmaceuticals, Inc.",0.015467954752784896
2024-06-27,776696106,"Roper Technologies, Inc.",0.020682866053399782
2024-06-27,78409V104,"S&P Global, Inc.",0.023126789951329708
2024-06-27,78462F103,SPDR S&P 500 ETF Trust,0.18439616033450057
2024-06-27,806857108,Schlumberger NV,0.013591986703089098
2024-06-27,81762P102,"ServiceNow, Inc.",0.016278106656552552
2024-06-27,824348106,Sherwin-Williams Company,0.018111083749872393
2024-06-27,863667101,Stryker Corporation,0.007160743597099204
2024-06-27,81369Y803,Technology Select Sector SPDR Fund,0.011899000948518564
2024-06-27,CASHUSD,U.S. Dollar,0.1050770566013708
2024-06-27,907818108,Union Pacific Corporation,0.01785635523652518
2024-06-27,91324P102,UnitedHealth Group Incorporated,0.022724836600092408
2024-06-27,81369Y886,Utilities Select Sector SPDR Fund,0.00014490128656724792
2024-06-27,92826C839,Visa Inc. Class A,0.014014378894921865
2024-06-27,929160109,Vulcan Materials Company,0.012764013896641752
2024-06-27,931142103,Walmart Inc.,0.015843634100602404
2024-06-27,79466L302,"salesforce.com, inc.",0.016748021255531157
