Date,CUSIP,Name,MV%
2024-10-02,N07059210,ASML Holding NV,0.018499810861745188
2024-10-02,00724F101,Adobe Inc.,0.021466380161388625
2024-10-02,007903107,Advanced Micro Devices Inc.,0.021150265679775033
2024-10-02,02079K305,Alphabet Inc,0.0296645006454297
2024-10-02,023135106,Amazon.com Inc.,0.027630693390209952
2024-10-02,031100100,Ametek Inc,0.01597629090236609
2024-10-02,037833100,Apple Inc,0.030248287822924384
2024-10-02,09260D107,Blackstone Inc,0.017072152417692645
2024-10-02,09857L108,Booking Holdings Inc,0.020840931431416864
2024-10-02,81369Y852,Communication Services Select Sector SPDR Fund,0.004283298681582634
2024-10-02,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002599234248176267
2024-10-02,81369Y308,Consumer Staples Select Sector SPDR Fund,0.001574691490400819
2024-10-02,22160K105,Costco Wholesale Corp,0.014203608517171232
2024-10-02,22788C105,Crowdstrike Holdings Inc,0.009344717545083703
2024-10-02,23804L103,Datadog Inc,0.011273901051977557
2024-10-02,81369Y506,Energy Select Sector SPDR Fund,0.0004583478099345548
2024-10-02,81369Y605,Financial Select Sector SPDR Fund,0.006110718061627922
2024-10-02,369604301,GE Aerospace,0.01865075441520203
2024-10-02,36828A101,GE Vernova Inc.,0.014021188918124747
2024-10-02,38141G104,"Goldman Sachs Group, Inc.",0.017399887269267098
2024-10-02,81369Y209,Health Care Select Sector SPDR Fund,0.006798017473800069
2024-10-02,437076102,"Home Depot, Inc.",0.01620702092644117
2024-10-02,45168D104,"Idexx Laboratories, Inc.",0.013258528880589024
2024-10-02,81369Y704,Industrial Select Sector SPDR Fund,0.004920327362837134
2024-10-02,46137V357,Invesco S&P 500 Equal Weight ETF,0.14120841169041293
2024-10-02,46625H100,JPMorgan Chase & Co.,0.01612839649281902
2024-10-02,548661107,"Lowe`s Cos., Inc.",0.018130566027736623
2024-10-02,81369Y100,Materials Select Sector SPDR Fund,0.0015483587216025508
2024-10-02,580135101,McDonald`s Corp,0.018723305942435937
2024-10-02,30303M102,Meta Platforms Inc,0.027203862044543163
2024-10-02,594918104,Microsoft Corporation,0.02824023737033963
2024-10-02,000496514,Moncler SpA,0.0067349802002566374
2024-10-02,682189105,ON Semiconductor Corp.,0.015535575740763453
2024-10-02,743315103,Progressive Corp.,0.027251869329485826
2024-10-02,81369Y860,Real Estate Select Sector SPDR Fund,8.940611601192551e-05
2024-10-02,75886F107,"Regeneron Pharmaceuticals, Inc.",0.018920852231770608
2024-10-02,776696106,Roper Technologies Inc,0.019499940737933295
2024-10-02,78409V104,S&P Global Inc,0.025484774826541712
2024-10-02,79466L302,Salesforce Inc,0.017791534155626305
2024-10-02,81762P102,ServiceNow Inc,0.017792504203901296
2024-10-02,824348106,Sherwin-Williams Co.,0.02216285461349509
2024-10-02,863667101,Stryker Corp.,0.00717653839443826
2024-10-02,81369Y803,Technology Select Sector SPDR Fund,0.036322426980849414
2024-10-02,CASHUSD,U.S. Dollar,0.09406069404048001
2024-10-02,907818108,Union Pacific Corp.,0.01868818211114554
2024-10-02,91324P102,Unitedhealth Group Inc,0.026593934086971305
2024-10-02,81369Y886,Utilities Select Sector SPDR Fund,0.00016464548534112953
2024-10-02,92826C839,Visa Inc,0.013994967300691323
2024-10-02,929160109,Vulcan Materials Co,0.01846624314956259
2024-10-02,931142103,Walmart Inc,0.018042352262729378
