Date,CUSIP,Name,MV%
2023-08-18,031100100,"AMETEK, Inc.",0.01400650903117932
2023-08-18,N07059210,ASML Holding NV ADR,0.020077532227264015
2023-08-18,002824100,Abbott Laboratories,0.022750132925080775
2023-08-18,00724F101,Adobe Inc.,0.022417522300094785
2023-08-18,007903107,"Advanced Micro Devices, Inc.",0.020805719226146425
2023-08-18,009066101,"Airbnb, Inc. Class A",0.00934885733910182
2023-08-18,02079K305,Alphabet Inc. Class A,0.028897210118389707
2023-08-18,023135106,"Amazon.com, Inc.",0.031019393602005778
2023-08-18,037833100,Apple Inc.,0.023308123676227088
2023-08-18,060505104,Bank of America Corp,0.014340970148202186
2023-08-18,09260D107,Blackstone Group Inc.,0.01524354457546051
2023-08-18,09857L108,Booking Holdings Inc.,0.026236557961870664
2023-08-18,15135B101,Centene Corporation,0.014675994991276024
2023-08-18,81369Y852,Communication Services Select Sector SPDR Fund,0.003747332159075424
2023-08-18,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.00259139963664889
2023-08-18,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0017002222795514652
2023-08-18,22052L104,Corteva Inc,0.011570305627345085
2023-08-18,22160K105,Costco Wholesale Corporation,0.01602766300253039
2023-08-18,22788C105,"CrowdStrike Holdings, Inc. Class A",0.007555889869251767
2023-08-18,235851102,Danaher Corporation,0.018486047800978848
2023-08-18,23804L103,Datadog Inc Class A,0.00975313470204581
2023-08-18,81369Y506,Energy Select Sector SPDR Fund,0.0002176717851590273
2023-08-18,30303M102,"Facebook, Inc. Class A",0.021174347043823687
2023-08-18,81369Y605,Financial Select Sector SPDR Fund,0.005580054570432959
2023-08-18,369604301,General Electric Company,0.013562770844667484
2023-08-18,38141G104,"Goldman Sachs Group, Inc.",0.01393696239336953
2023-08-18,81369Y209,Health Care Select Sector SPDR Fund,0.033709812944998835
2023-08-18,438516106,Honeywell International Inc.,0.01486239223552041
2023-08-18,81369Y704,Industrial Select Sector SPDR Fund,0.020571000855402654
2023-08-18,46625H100,JPMorgan Chase & Co.,0.014057232120852397
2023-08-18,478160104,Johnson & Johnson,0.017333571164343038
2023-08-18,502431109,L3Harris Technologies Inc,0.013566533103311997
2023-08-18,538034109,"Live Nation Entertainment, Inc.",0.014582110093961348
2023-08-18,539439109,Lloyds Banking Group plc Sponsored ADR,0.014666583217207667
2023-08-18,55261F104,M&T Bank Corporation,0.017681194059164625
2023-08-18,57636Q104,Mastercard Incorporated Class A,0.009612019365591232
2023-08-18,81369Y100,Materials Select Sector SPDR Fund,0.0015849035373858057
2023-08-18,594918104,Microsoft Corporation,0.0244341419532098
2023-08-18,000496514,Moncler SpA,0.009154073223769396
2023-08-18,693475105,"PNC Financial Services Group, Inc.",0.010719618506604231
2023-08-18,701094104,Parker-Hannifin Corporation,0.01072393223638556
2023-08-18,743315103,Progressive Corporation,0.017397786914496925
2023-08-18,75513E101,Raytheon Technologies Corporation,0.012407365283549465
2023-08-18,81369Y860,Real Estate Select Sector SPDR Fund,8.870106862859134e-05
2023-08-18,75886F107,"Regeneron Pharmaceuticals, Inc.",0.015929427610691927
2023-08-18,776696106,"Roper Technologies, Inc.",0.01958729889646137
2023-08-18,78409V104,"S&P Global, Inc.",0.019193646544086732
2023-08-18,78462F103,SPDR S&P 500 ETF Trust,0.09789164149651233
2023-08-18,81762P102,"ServiceNow, Inc.",0.01990810803911946
2023-08-18,824348106,Sherwin-Williams Company,0.021188256371385647
2023-08-18,863667101,Stryker Corporation,0.010557865894718521
2023-08-18,874039100,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",0.013731998954185611
2023-08-18,81369Y803,Technology Select Sector SPDR Fund,0.010107853192161113
2023-08-18,883556102,Thermo Fisher Scientific Inc.,0.02087766782712991
2023-08-18,CASHUSD,U.S. Dollar,0.005800633165313226
2023-08-18,907818108,Union Pacific Corporation,0.02098011890943649
2023-08-18,91324P102,UnitedHealth Group Incorporated,0.023476542961411218
2023-08-18,81369Y886,Utilities Select Sector SPDR Fund,0.00015561289989580727
2023-08-18,92826C839,Visa Inc. Class A,0.009631884581430822
2023-08-18,929160109,Vulcan Materials Company,0.012718395004714656
2023-08-18,931142103,Walmart Inc.,0.014322097580408871
2023-08-18,79466L302,"salesforce.com, inc.",0.017069183646438477
