Date,CUSIP,Name,MV%
2023-12-12,031100100,"AMETEK, Inc.",0.013500591415217797
2023-12-12,N07059210,ASML Holding NV ADR,0.02036991327310576
2023-12-12,00724F101,Adobe Inc.,0.01934635170451745
2023-12-12,007903107,"Advanced Micro Devices, Inc.",0.019606476876569478
2023-12-12,02079K305,Alphabet Inc. Class A,0.023826353070132346
2023-12-12,023135106,"Amazon.com, Inc.",0.0265160772018044
2023-12-12,037833100,Apple Inc.,0.01937536757964723
2023-12-12,060505104,Bank of America Corp,0.013973620288339011
2023-12-12,09260D107,Blackstone Group Inc.,0.01612999961628101
2023-12-12,09857L108,Booking Holdings Inc.,0.01923743474845741
2023-12-12,81369Y852,Communication Services Select Sector SPDR Fund,0.0037324976924059195
2023-12-12,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002560622710644488
2023-12-12,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015256402403098458
2023-12-12,22160K105,Costco Wholesale Corporation,0.014236549800621823
2023-12-12,22788C105,"CrowdStrike Holdings, Inc. Class A",0.011804350041594223
2023-12-12,23804L103,Datadog Inc Class A,0.011020717872266906
2023-12-12,81369Y506,Energy Select Sector SPDR Fund,0.0001836390538221592
2023-12-12,30303M102,"Facebook, Inc. Class A",0.024565455030472493
2023-12-12,81369Y605,Financial Select Sector SPDR Fund,0.005547324211191621
2023-12-12,369604301,General Electric Company,0.013693412421731062
2023-12-12,38141G104,"Goldman Sachs Group, Inc.",0.01395538076901542
2023-12-12,81369Y209,Health Care Select Sector SPDR Fund,0.006642713074723182
2023-12-12,81369Y704,Industrial Select Sector SPDR Fund,0.004498252192762003
2023-12-12,46625H100,JPMorgan Chase & Co.,0.013976515091157885
2023-12-12,539439109,Lloyds Banking Group plc Sponsored ADR,0.014559320314925992
2023-12-12,548661107,"Lowe's Companies, Inc.",0.013923662324066458
2023-12-12,55261F104,M&T Bank Corporation,0.016836082731968408
2023-12-12,81369Y100,Materials Select Sector SPDR Fund,0.001501498037113398
2023-12-12,580135101,McDonald's Corporation,0.01548803185990222
2023-12-12,594918104,Microsoft Corporation,0.026670564686614634
2023-12-12,000496514,Moncler SpA,0.0073314013655032696
2023-12-12,682189105,ON Semiconductor Corporation,0.015512354988274848
2023-12-12,743315103,Progressive Corporation,0.019792965501916462
2023-12-12,81369Y860,Real Estate Select Sector SPDR Fund,8.598468997929178e-05
2023-12-12,75886F107,"Regeneron Pharmaceuticals, Inc.",0.015627593017677657
2023-12-12,776696106,"Roper Technologies, Inc.",0.02027965422583923
2023-12-12,78409V104,"S&P Global, Inc.",0.019787797826571835
2023-12-12,78462F103,SPDR S&P 500 ETF Trust,0.168459544618937
2023-12-12,81762P102,"ServiceNow, Inc.",0.018634207595428044
2023-12-12,824348106,Sherwin-Williams Company,0.019335880659946063
2023-12-12,863667101,Stryker Corporation,0.010324529102151828
2023-12-12,81369Y803,Technology Select Sector SPDR Fund,0.010716424341580065
2023-12-12,CASHUSD,U.S. Dollar,0.17119673156471335
2023-12-12,907818108,Union Pacific Corporation,0.020016159322380857
2023-12-12,91324P102,UnitedHealth Group Incorporated,0.02371700641677888
2023-12-12,81369Y886,Utilities Select Sector SPDR Fund,0.00014374505247458666
2023-12-12,92826C839,Visa Inc. Class A,0.00968569361288564
2023-12-12,929160109,Vulcan Materials Company,0.012239701246776067
2023-12-12,931142103,Walmart Inc.,0.01266548603326742
2023-12-12,79466L302,"salesforce.com, inc.",0.014789445831202763
