Date,CUSIP,Name,MV%
2023-12-08,031100100,"AMETEK, Inc.",0.01329523097862471
2023-12-08,N07059210,ASML Holding NV ADR,0.01990396624210567
2023-12-08,00724F101,Adobe Inc.,0.02510507956891505
2023-12-08,007903107,"Advanced Micro Devices, Inc.",0.02372839261933543
2023-12-08,02079K305,Alphabet Inc. Class A,0.02854930055046688
2023-12-08,023135106,"Amazon.com, Inc.",0.03202079827969108
2023-12-08,037833100,Apple Inc.,0.024387184378813813
2023-12-08,060505104,Bank of America Corp,0.014228173486607286
2023-12-08,09260D107,Blackstone Group Inc.,0.01621494045139372
2023-12-08,09857L108,Booking Holdings Inc.,0.026207855841952385
2023-12-08,81369Y852,Communication Services Select Sector SPDR Fund,0.003786917991180711
2023-12-08,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.002573880095637101
2023-12-08,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015228450463906805
2023-12-08,22160K105,Costco Wholesale Corporation,0.016757846045258203
2023-12-08,22788C105,"CrowdStrike Holdings, Inc. Class A",0.0116458908723033
2023-12-08,23804L103,Datadog Inc Class A,0.011061087005086257
2023-12-08,81369Y506,Energy Select Sector SPDR Fund,0.00018801064217088286
2023-12-08,30303M102,"Facebook, Inc. Class A",0.028529980473532137
2023-12-08,81369Y605,Financial Select Sector SPDR Fund,0.005534710465882012
2023-12-08,369604301,General Electric Company,0.013647988146657481
2023-12-08,38141G104,"Goldman Sachs Group, Inc.",0.014037407732873519
2023-12-08,81369Y209,Health Care Select Sector SPDR Fund,0.0066432256020088395
2023-12-08,81369Y704,Industrial Select Sector SPDR Fund,0.004484269880541276
2023-12-08,46625H100,JPMorgan Chase & Co.,0.01395394271411579
2023-12-08,539439109,Lloyds Banking Group plc Sponsored ADR,0.014978569847552
2023-12-08,548661107,"Lowe's Companies, Inc.",0.014017881879971425
2023-12-08,55261F104,M&T Bank Corporation,0.017135936521271676
2023-12-08,81369Y100,Materials Select Sector SPDR Fund,0.001498597778237668
2023-12-08,580135101,McDonald's Corporation,0.015341638677948756
2023-12-08,594918104,Microsoft Corporation,0.03208647510927102
2023-12-08,000496514,Moncler SpA,0.0072627122997392275
2023-12-08,682189105,ON Semiconductor Corporation,0.015232565983253853
2023-12-08,743315103,Progressive Corporation,0.01953044856536669
2023-12-08,81369Y860,Real Estate Select Sector SPDR Fund,8.665454625168989e-05
2023-12-08,75886F107,"Regeneron Pharmaceuticals, Inc.",0.015367166329898627
2023-12-08,776696106,"Roper Technologies, Inc.",0.020243553748227894
2023-12-08,78409V104,"S&P Global, Inc.",0.019469355967059433
2023-12-08,78462F103,SPDR S&P 500 ETF Trust,0.16887827864635738
2023-12-08,81762P102,"ServiceNow, Inc.",0.023975643876107403
2023-12-08,824348106,Sherwin-Williams Company,0.021204618971748614
2023-12-08,863667101,Stryker Corporation,0.010245471094489051
2023-12-08,81369Y803,Technology Select Sector SPDR Fund,0.010669483907216646
2023-12-08,CASHUSD,U.S. Dollar,0.11555581416683458
2023-12-08,907818108,Union Pacific Corporation,0.01996314969671583
2023-12-08,91324P102,UnitedHealth Group Incorporated,0.024155400615587824
2023-12-08,81369Y886,Utilities Select Sector SPDR Fund,0.0001449806009978801
2023-12-08,92826C839,Visa Inc. Class A,0.009647943413290722
2023-12-08,929160109,Vulcan Materials Company,0.012101307384048493
2023-12-08,931142103,Walmart Inc.,0.012762271223182261
2023-12-08,79466L302,"salesforce.com, inc.",0.01949736436261572
