Date,CUSIP,Name,MV%
2024-04-25,031100100,"AMETEK, Inc.",0.014391537231217784
2024-04-25,N07059210,ASML Holding NV ADR,0.019729146850259005
2024-04-25,00724F101,Adobe Inc.,0.021734043166338222
2024-04-25,007903107,"Advanced Micro Devices, Inc.",0.015965894775188273
2024-04-25,02079K305,Alphabet Inc. Class A,0.027111154362490408
2024-04-25,023135106,"Amazon.com, Inc.",0.023727998398109726
2024-04-25,037833100,Apple Inc.,0.024511395336757835
2024-04-25,09260D107,Blackstone Group Inc.,0.014966616361853195
2024-04-25,09857L108,Booking Holdings Inc.,0.019141323159880545
2024-04-25,81369Y852,Communication Services Select Sector SPDR Fund,0.0040049396437142545
2024-04-25,81369Y407,Consumer Discretionary Select Sector SPDR Fund,0.0024772319976711626
2024-04-25,81369Y308,Consumer Staples Select Sector SPDR Fund,0.0015731224365511335
2024-04-25,22160K105,Costco Wholesale Corporation,0.0126240657236622
2024-04-25,22788C105,"CrowdStrike Holdings, Inc. Class A",0.008794992260278727
2024-04-25,23804L103,Datadog Inc Class A,0.008898511750267095
2024-04-25,81369Y506,Energy Select Sector SPDR Fund,0.00021123615917170198
2024-04-25,30303M102,"Facebook, Inc. Class A",0.020744711193282885
2024-04-25,81369Y605,Financial Select Sector SPDR Fund,0.00598745100408698
2024-04-25,36828A101,GE Vernova,0.003890522790034787
2024-04-25,369604301,General Electric Company,0.017449706922150664
2024-04-25,38141G104,"Goldman Sachs Group, Inc.",0.016069239382710182
2024-04-25,81369Y209,Health Care Select Sector SPDR Fund,0.006729127544330953
2024-04-25,45168D104,"IDEXX Laboratories, Inc.",0.014972912130645647
2024-04-25,81369Y704,Industrial Select Sector SPDR Fund,0.00481862403952188
2024-04-25,46625H100,JPMorgan Chase & Co.,0.01627444209678912
2024-04-25,548661107,"Lowe's Companies, Inc.",0.01658908844440765
2024-04-25,81369Y100,Materials Select Sector SPDR Fund,0.0015559293040675838
2024-04-25,580135101,McDonald's Corporation,0.018977808053743286
2024-04-25,594918104,Microsoft Corporation,0.024424784795245024
2024-04-25,000496514,Moncler SpA,0.008354597549566647
2024-04-25,682189105,On Semiconductor,0.01559918810333633
2024-04-25,743315103,Progressive Corporation,0.024338633320206665
2024-04-25,81369Y860,Real Estate Select Sector SPDR Fund,7.96371031628387e-05
2024-04-25,75886F107,"Regeneron Pharmaceuticals, Inc.",0.013629377582090041
2024-04-25,776696106,"Roper Technologies, Inc.",0.01949232320021382
2024-04-25,78409V104,"S&P Global, Inc.",0.022253247348940634
2024-04-25,78462F103,SPDR S&P 500 ETF Trust,0.17665346840430837
2024-04-25,806857108,Schlumberger NV,0.014860637587180276
2024-04-25,81762P102,"ServiceNow, Inc.",0.015657445824974806
2024-04-25,824348106,Sherwin-Williams Company,0.01932339766777055
2024-04-25,863667101,Stryker Corporation,0.0073702029457455576
2024-04-25,81369Y803,Technology Select Sector SPDR Fund,0.010798992303717354
2024-04-25,CASHUSD,U.S. Dollar,0.16518808314972763
2024-04-25,907818108,Union Pacific Corporation,0.020231496735156625
2024-04-25,91324P102,UnitedHealth Group Incorporated,0.02398510841426392
2024-04-25,81369Y886,Utilities Select Sector SPDR Fund,0.00014628918319124803
2024-04-25,92826C839,Visa Inc. Class A,0.009924886015748847
2024-04-25,929160109,Vulcan Materials Company,0.013846822068820966
2024-04-25,931142103,Walmart Inc.,0.014609921711205915
2024-04-25,79466L302,"salesforce.com, inc.",0.014031672835865974
